id,action,background,department
312888,Extend Coronavirus support for the vulnerable to those not currently supported,"The Government has put in place arrangements to support people who are classed as clinically extremely vulnerable, but this does not support many disabled people who may live on their own, have mobility issues, and have limited ability to meet their own needs.",Department of Health and Social Care
636053,Fund improved mental health support for women who suffer a miscarriage,"We want the Government to fund improved mental health support for women who suffer a miscarriage. This should ensure that this group receives the support they need to deal with PTSD, postnatal depression, anxiety, self-esteem issues, and more.",Department of Health and Social Care
610642,Review how babies with tongue tie are treated & diagnosed,"We want the Government to review how babies with tongue tie are treated & diagnosed. This should look at how effectively medical professionals identify tongue tie, and treat babies with this condition.",Department of Health and Social Care
614358,Increase long-term funding for NHS services for homeless people,"The NHS Long Term Plan commits to an extra £30 million to meet the needs of rough sleepers. We want the Government to provide additional funding for NHS health services (physical and mental) for homeless people. The number of homeless people has increased, and so should funding for health services.",Department of Health and Social Care
584513,Amend 'Public Health (Control of Disease) Act 1984' to legalise human composting,"The Public Health Act includes provision for ""Green burials"" where human remains are buried in a biodegradable casket but ""composting"" has not yet been legalised under these regulations.
Human composting happens above ground in a vessel that allows the body to become compost in 30-60 days.",Department of Health and Social Care
608495,Review medical care and treatment for babies with failure to thrive,"My son Aiden was born with a heart condition that went undiagnosed for over four years. Despite being diagnosed with failure to thrive, his organs were not checked. I want to the Government to review medical care and treatment for babies with failure to thrive, to give them the best chance possible.",Department of Health and Social Care
563497,Help fund local hospices!,Give local hospices funding to help support them and keep them running. I also want the staff to be recognised for the outstanding work they do.,Department of Health and Social Care
333503,Set up an independent review into electroconvulsive therapy (ECT) practice.,"We urgently need an independent Cumberlege-style review into the practice of ECT. ECT causes epileptic seizures, and is given to about 2,500 people a year. Significant numbers are left with irreversible memory loss and brain damage. I am a former paediatrician, unable to work since receiving ECT.",Department of Health and Social Care
605314,Review and reform Child and Adolescent Mental Health Services,The Government should commission an urgent and thorough review of the Child and Adolescent Mental Health Services (CAMHS) to ensure it adequately supports children and young people.,Department of Health and Social Care
616848,Allow trained Paramedics to prescribe controlled drugs,Change the Misuse of Drugs laows to allow Paramedics to prescribe controlled drugs if the Paramedic has completed a Non-medical Prescribing course and is a registered independent prescriber. This would mean that Paramedic Practitioners could work to the same standard as Nurse Practitioners.,Department of Health and Social Care
557313,Immediately fund local services to prevent mental health pandemic,"The government must immediately inject additional funding into local services to prevent a mental health pandemic. The government has already budgeted additional money for mental health services, as part of its long term plan. But it must now release the funding given the second wave of Covid-19.",Department of Health and Social Care
593164,Exempt childcare workers from self-isolation if contacted by NHS Test and Trace,The Government should exempt all childcare workers from the requirement to self-isolate if they are contacted by NHS Test and Trace because they have been in contact with someone who has tested positive for Covid-19.,Department of Health and Social Care
633968,Increase funding to support individuals with eating disorders and their families,"There is not nearly enough support for people with eating disorders, or their families. Many people struggle to access support, including through Community Eating Disorder Service (CEDS). More funding is needed to ensure that individuals with eating disorders and their families are supported.",Department of Health and Social Care
602078,Fund free sanitary products for endometriosis sufferers,"I suffer from an incurable chronic disease called endometriosis, which affects 1 in 10 women. This can cause heavy, long lasting periods. You can suffer from this as early as 10 years old. Having to find money to cover the costs of sanitary products is very hard.",Department of Health and Social Care
553017,Provide funding to make bevacizumab and biosimilars available on NHS,The UK is behind most first world countries in routinely using bevacizumab or biosimilars to treat many cancers. Recent 2019 evidence shows that survival rates are better for MCRC patients using this treatment alongside chemotherapy. ,Department of Health and Social Care
642484,Ban advertising for e-cigarettes ,"E-cigarettes are being advertised everywhere in the UK, on billboards, magazines and newspapers as well as online. This should be banned like advertising for normal cigarettes is.",Department of Health and Social Care
632598,Increase funding for NHS services in rural areas,"We want the Government to increase funding for NHS services in rural communities, like Lincolnshire, where there are almost 800,000 residents, but only 2 A&Es, and poor transport links.",Department of Health and Social Care
620602,Voucher scheme for those with Coeliacs Disease for gluten-free food,"Those with Coeliac Disease need to avoid gluten, but some PCTs have stopped prescribing Gluten Free food as it’s too costly for the NHS. I would like the Government to give those with Coeliacs Disease a monthly voucher for gluten-free food, to help them maintain a healthy diet.",Department of Health and Social Care
629971,Review safety procedures at hospital A&E departments,The Government should conduct a review of safety procedures at A&E departments. The review should include how people are received in the reception area and subsequently monitored.,Department of Health and Social Care
327908,Allow the Infection Control Fund to be used for carers pay before 13 May,"Guidelines in the infection control fund  for care homes state it cannot be used for costs before 13th May. However this means carers & nurses have relied on ssp only whilst fighting covid at it's peak in March & April. Please enable these key, frontline workers to access full pay for this period.",Department of Health and Social Care
576325,Begin distributing 50% of UK vaccine supplies to poorer countries immediately.,"The Government should distribute 50% of currently available UK vaccine supplies to poorer countries to be administered to vulnerable populations.  It can do this directly or via international efforts such as COVAX, in which it is already actively involved.",Department of Health and Social Care
300632,Advise people to avoid shaking hands during COVID-19,The Government and NHS should advise the public to avoid shaking hands during the COVID-19 outbreak to help prevent the transfer of COVID-19.,Department of Health and Social Care
658925,Fund free NHS prescriptions for Epipens for anaphylaxis sufferers,"Many people are able to access vital life-saving drugs for free on the NHS, such as drugs for diabetes. Anaphylaxis sufferers have to carry an Epipen throughout their life. This is undoubtedly a life-saving medication and we believe it should be free to anaphylaxis suffers.",Department of Health and Social Care
578204,Fund annual cancer reviews for anyone with a family history of cancer,"A major risk factor for cancer is a family history. My mum, Laura (36) lost her mum and gran to cancer at a young age. She had seen the GP numerous times with pain but was never taken seriously. The pain was actually due to a cancerous tumour pressing on a nerve and now, she’s battling cancer.",Department of Health and Social Care
603305,Require medical professionals to report suspected vaccine side effects/injuries,"The Government should make it a legal requirement for medical professionals to report any suspected vaccine side effects or injuries, to ensure data on reported side effects and injuries is as comprehensive as possible.",Department of Health and Social Care
654707,Review the use of forceps for the delivery of babies,"Having suffered a birth injury when my son was born, I believe forceps should not be used in the delivery of babies. Instead I believe women should be offered a caesarean section. ",Department of Health and Social Care
565165,"Extend visas for, and offer free vaccination to, touring international artists",The government should offer free visa extensions of one month for coronavirus-unvaccinated artists (musical and otherwise) that wish to tour the UK. The artists should be offered free vaccination and accommodation during this month.,Department of Health and Social Care
621810,Legalise euthanasia,"The Government should consider legalising euthanasia. A person should have a right to decide on whether or not they continue to live. This is often framed about giving choice to the terminally ill, but this right to choose shouldn't be something only available to people in that situation.",Department of Health and Social Care
563531,Provide DNA sequencing of urine cultures on the NHS,"Use DNA testing on urine cultures of women with UTI symptoms 
More funding and research into UTI treatments other than antibiotics 
More research into embedded UTIs and development of appropriate testing 
More education on preventative measures such as D-mannose",Department of Health and Social Care
583201,Prioritise pregnant women and their birth partners for Covid-19 vaccination,"The approved vaccines should be offered to pregnant women AND their birth partner regardless of age or health status. As lockdown eases, the potential risk of a birth partner catching Covid-19 and therefore missing the birth of a child increases: The impact of this could be irreversibly devastating.",Department of Health and Social Care
656433,Fund a defibrillator in all healthcare settings and care homes ,I would really like to see a defibrillator provided to every healthcare setting and care home.,Department of Health and Social Care
641140,Do not increase visa fees and the Immigration Health Surcharge,Halt any further increases in visa fees and the Immigration Health Surcharge. Immigrants who contribute through taxes shouldn't face increased financial burdens,Department of Health and Social Care
651774,Launch a review of infant care within NHS England,I want the government to launch a review into the care of infants within the NHS. I am concerned about medical negligence. There have been many reports of medical negligence in the care of infants.,Department of Health and Social Care
564466,All key workers  to be higher up the list for coronavirus vaccine,All teachers deal with children sometimes within 2m of them and  supermarket workers deal with the public day in day out sometimes within 2 m of them. As the public can't do without schools or supermarkets I think they should be up higher in the list.,Department of Health and Social Care
319308,Fund Cancer Drugs Fund immunotherapy drugs to extend NICE’s 2 year limit,NICE have approved Cancer Drugs Funding for up 2 years treatment with some immunotherapy drugs as guided by clinical trials. For some patients the drugs result in stable disease to 2 years and may continue for longer. We ask the government to provide funding to extend this beyond 2 years. ,Department of Health and Social Care
604537,Conduct a Government-led review of cancer care pathways for young women,"My daughter is 26 years old and presenting with several symptoms of cancer of the womb. She has been unable to see a specialist to urgently investigate her symptoms, and we have been told that her age is a factor in this.",Department of Health and Social Care
550994,Make children under 5 exempt from the rule of six,"Families with several small children, under school-age will find they break the rule of 6 when relying on grandparents to take on childcare duties",Department of Health and Social Care
567780,Prohibit contracting private organisations for Covid-19 vaccination programme,All contracts related to the Covid-19 vaccine programme should only be awarded to Public Sector companies with experience and expertise in that field. The Government should prohibit contracts to private organisations.,Department of Health and Social Care
598472,Fund Immunotherapy for Cervical Cancer patients under the NHS,"Fund immunotherapy as an option for cervical cancer patients within the National Health Service, instead of the patient having to pay £10,000 per treatment privately.",Department of Health and Social Care
657935,Increase investment in Speech and Language Therapy.,"We want the Government to increase investment in speech and language therapy so people of all ages - babies, children and young people, and adults - with communication and/or swallowing needs can get the support they and their families need.",Department of Health and Social Care
638726,Fund free NHS paternity tests at birth,"We believe that too many men end up raising someone else's child, and don't find out at all or for many years. We want the Government to provide funding for NHS paternity tests at birth, so fathers can find out if they are a child's biological father.",Department of Health and Social Care
334311,Work with the NHS to fund and provide a unified and improved wheelchair service,"I would like the Government to work with the NHS to create and improved and unified wheelchair services. Wait times should be shorter, the approach to supplying a wheelchair more holistic and it should be less of a postcode lottery. This would require WCS to be provided with better funding.",Department of Health and Social Care
603682,Recognise people who recently recovered from COVID in the domestic COVID Pass,The new COVID Pass for domestic events does not recognise protection against COVID from recent infection even though the previous pass did. Data has shown that recovery from COVID can grant protection from infection that lasts longer than protection granted from vaccination.,Department of Health and Social Care
641469,Fund 35% pay rise for NHS staff,"We want the Government to fund a 35% pay rise for NHS staff. We believe this is only fair during the cost of living crisis, especially when it is projected that the Sovereign Grant for the Royal Family is expected to increase by 45% by 2025.",Department of Health and Social Care
636317,Form a Royal Commission to determine how best to deliver health and care for all,"Task a Royal Commission to develop a more efficient, effective, holistic health and social care system. As demand rises, we believe the complexity of the issues cannot be addressed in one Government. A Royal Commission could develop a more sustainable model for all.",Department of Health and Social Care
633992,Make it a specific criminal offence to leave a child under five unsupervised,We are calling on the Government to bring in a new law that prohibits those responsible for a child under the age of five to leave them unsupervised.,Department of Health and Social Care
323100,Ban all forms of smoking in private dwellings. Smoking should only be outdoors.,The government should pass a law which bans smoking in private dwellings as they did for public places. If a person lives alone in a private dwelling which is a detached building then an exemption clause could be made for such a smoker.,Department of Health and Social Care
316014,Make it illegal for people to Smoke/Vape in a queue during the Covid19 outbreak.,During this difficult time when people are so worried about the spread of Covid-19 it should be illegal for people to smoke or Vape whilst in or around queues for shops as having to breathe in 2nd hand smoke / vapor that has been in someone else's lungs is both disgusting and worrying,Department of Health and Social Care
596962,Fund mental health walk-in centres for every district,To fund walk-in centres for mental health in every district. Making it available for those who are in need to access face to face mental health support.,Department of Health and Social Care
653033,Provide more funding for treatment of sickle cell disease,Provide hospitals with more funding to help treat sickle cell disease patients.,Department of Health and Social Care
300199,We ask the Government to have an NHS National Database Centre,"At the moment Hospital administration and GP Surgeries operate independently from area to area and from different systems, if you move from one area to another it takes up to 6 months for you to be able to access your medical records online.",Department of Health and Social Care
628475,Create a National Care Service,"This country needs a sister service to the NHS to focus on social care 
Care of vulnerable and elderly citizens.

Giving social care a new and unique identity. This new service would take full control of social care, standardise all aspects of care 
create new and specialised national service",Department of Health and Social Care
564743,Ban rollout of vaccines where manufacturer has been indemnified from liability,"The potential long-term risks of a vaccine cannot be known until after they are rolled out, and these could even outweigh the benefits of vaccination, so vaccines should only be permitted where the manufacturer retains liability for any adverse consequences that may result from its use.",Department of Health and Social Care
616559,Ban the sale of all medicines to under-18s,"The Government should ban the sale of all medicines to under-18s to help protect them from the risk of overdosing. If they need any medicine, their parents should have to buy it for them. This needs to be addressed urgently, should be same restrictions as applied with alcohol.",Department of Health and Social Care
568334,"Provide regular, weekly coronavirus testing for Adult Day Support Workers","Adult Day Support Workers are unable to access regular testing for coronavirus, putting them, the adults they care for and the families of both at risk. 

This is both unfair and hard to understand when testing capacity has been dramatically expanded with lateral flow tests being rolled out.",Department of Health and Social Care
579919,Increased funding for treatment of long covid and other chronic conditions,"Debilitating conditions such as long covid, ME, fibromyalgia and Lyme disease, desperately need research and funding. Many sufferers are left in limbo without any potential treatment options available. This has to change and funds need to be made to help professionals find suitable treatments.",Department of Health and Social Care
612372,Fund cervical screening at 20 as opposed to 25,"The Government should fund the NHS to provide cervical cancer screening from the age of 20, not 25 as it is currently. Regular 6 monthly smears should be given if abnormal cells are identified to monitor whether these develop into cancer.",Department of Health and Social Care
603607,Change reported COVID deaths to those where COVID was the primary cause of death,The daily published UK death figures need to be changed to clearly show deaths caused by COVID – i.e. that COVID was the primary cause of death - and not that the person had a positive COVID test up to 28 days prior to their death (but COVID was not the primary cause of death).,Department of Health and Social Care
329535,Provide weekly Covid 19 tests for NHS staff and care workers,To allow weekly Covid 19 tests for NHS staff and care workers to give them the protection they deserve whilst caring for others.,Department of Health and Social Care
552373,Ensure mental health care is available for all children having cancer treatment.,"I would like the government or Parliament to make sure psychological care is available for all children going through cancer treatment. 

The Government should ensure that the NHS has the resources necessary to ensure help is available from the start of treatment for everyone.",Department of Health and Social Care
568791,Prioritise telecoms and utilities engineers for the vaccination,As a engineer I can go into up-to 10 different houses every day to fix there services that is over upto 40 chances of catching COVID and potentially passing it on to people as I might not know I have it and might just be a carrier,Department of Health and Social Care
656093,Fund free prescriptions and more benefits for those with chronic health problems,"We think the Government should fund free prescriptions for those with chronic health conditions, especially those who require a lot of medication, and also increase financial support for people with chronic health problems.",Department of Health and Social Care
318978,Ensure the NHSX Covid-19 Contact Tracing App Protects User Privacy,"NHSX are developing a contact tracing app to reduce the transmission of Covid-19

We request that the app use the more secure decentralized model of data collection (meaning data stays on a user's device) rather than putting user privacy at risk by storing data externally on a centralized server.",Department of Health and Social Care
634890,Ensure all healthcare students are paid while on NHS placements,"To consider at the very minimum an apprentice style wage for students in the healthcare profession. Due to understaffing, students are having to make up numbers and have less contact time with their mentors, we are working rather than learning.",Department of Health and Social Care
642657,Provide free prescriptions for people living with life long health conditions.,"To provide free prescriptions for people with life long, chronic conditions, including but not limited to CROHNS, multiple sclerosis, dementia, motor neurone, Huntington’s, cystic fibrosis, asthma, ulcerative colitis etc.",Department of Health and Social Care
616162,Make NHS Covid Pass available to 5-11 year olds following positive PCR test,"Currently, children 5-11 years old can get a NHS COVID Pass for international travel only if vaccinated. This needs to change to allow those children who have had a positive Covid-19 test within the last six months to be issued an NHS Covid Pass, in line with rules for other age groups.",Department of Health and Social Care
316143,Release the findings of Exercise Cygnus from 2016 regarding a pandemic in the UK,In 2016 the British Government carried out an exercise to measure the impact of a serious influenza pandemic on the UK. The full findings of this exercise have not been published. Parliament should order that the results of this exercise be published and made available to the public.,Department of Health and Social Care
601680,Fast-track rollout of Covid vaccine in 5-11s post MHRA approval,"With Covid rates currently highest in young children, parents should be given the choice to vaccinate 5-11yrs as soon as MHRA grant approval.",Department of Health and Social Care
567511,Make Pharmacy staff a priority for covid vaccination,Pharmacies are deemed essential and the staff are often exposed to poorly people. The staff on pharmacy counters should be included amongst the early receivers of the vaccine.,Department of Health and Social Care
595579,Protect the Title Veterinary Nurse,Protect the title ‘Veterinary Nurse’ in law so that only those that have undertaken an accredited course and sat examinations and registered with the Royal College of Veterinary. Surgeons should be allowed to call themselves a Veterinary Nurse.,Department of Health and Social Care
590071,Fund routine early testing for pregnant women for Group B Strep,The Government should provide funding for routine early testing of pregnant women for Group B Strep.,Department of Health and Social Care
640581,Increase funding for autism/ADHD assessments to reduce waiting times,"The Government should increase funding for ASD (Autism Spectrum Disorder) and ADHD assessments to ensure that these take place within 18 months of referral. Currently, some areas take two years to carry out assessments, while others take six years. It is too long for a child to wait.",Department of Health and Social Care
315405,Implement mandatory registration for all social care workers in England,"I am calling on parliament to implement a register for all social care workers, to be issued with a PIN number to uphold. This is so they can be recognised and overseen as the professionals they are. This is currently in place in Scotland.",Department of Health and Social Care
610557,Ensure student nurses are paid for placement hours,The Government should require that student nurses be paid while on placement as part of their training. This should be at least the minimum wage for apprentices.,Department of Health and Social Care
629380,Fund community mental health hubs for children and young people NOW!,"We are calling upon the department for health and social care to set up and establish brand new open access community mental health hubs for children and young people in our local communities. Without such services, people like us will have nowhere to turn in a mental health crisis",Department of Health and Social Care
634827,Fund free sanitary products for homeless women,"We want the Government to fund free sanitary products for menstruation free for homeless women. This means that women who are homeless should be given access to free products, distributed on streets and in homeless shelters.",Department of Health and Social Care
576989,Offer breast screenings for cancer to women from the age of 30,"Offer breast screenings for cancer for women from the age of 30. 
Every year women younger than the age for automatic breast screenings get cancer and many die. Women have a right to a breast screening and shouldn't have to beg for a screening when concerned.",Department of Health and Social Care
590751,Keep face coverings compulsory in hospitals,The face coverings should remain compulsory in all hospital and health care settings,Department of Health and Social Care
641386,Create a regulator for veterinary services with powers to cap fees,"The Government should introduce a regulator for veterinary services with powers to cap charges for medical treatment and medication for animals. For animal lovers, the costs are often very high.",Department of Health and Social Care
319113,"Include current third year nursing students in the £5,000 nursing grant","Change policy so that current third year nursing students are included in the recently announced £5,000 nursing grant.",Department of Health and Social Care
561493,Make sunbed shops have to advertise the health risks of sunbeds like cigarettes.,I want similar warnings that have to be legally shown on every packet of cigarettes to be shown on every sunbed in the country. I have recently been diagnosed with Basel Cell Carcinomas due to sunbed use. I think the Government has a moral obligation to create awareness on the danger.,Department of Health and Social Care
579613,Fund Kuvan (sapropterin) on the NHS for people with PKU,"The drug Kuvan allows people with the rare condition PKU to manage their condition. The treatment has been licensed for 11 years but has never been commissioned by the NHS.
The government should make funding available for this treatment for all PKU patients that could benefit.",Department of Health and Social Care
550432,More mental health funding and support for Northern Ireland,Give more support and funding for mental health sufferers in Northern Ireland through the HSC.,Department of Health and Social Care
563804,Fund a national awareness campaign about the COVID vaccines,Fund an extensive awareness campaign to ensure accurate information is widely available about the Covid-19 vaccines. Dedicate a section of gov.uk to information about the COVID vaccines and debunking vaccine conspiracy theories.,Department of Health and Social Care
653561,Increase funding for treatment and research into endometriosis,"There is a lack of support or check ups for endometriosis. The disease is under researched, without a cure and can be left to worsen and can cause severe, chronic pain. More funding is needed to improve treatment options and increase research. ",Department of Health and Social Care
587701,Create a legal right for patients to receive timely face-to-face GP appointments,"There are reports of some GP practices refusing requests for face-to-face appointments from patients, despite guidance stating patient preference should be respected unless they are considered a covid-19 infection risk. Government should legislate if necessary to put this fundamental right in law.",Department of Health and Social Care
570647,"Reverse the vaccine program, start vaccinate secondary school children up to OAP","Reverse the vaccine program, start vaccinating secondary school children, as in the words of the PM, schools act as vectors for transmission.Then move up through the age groups to OAPs.",Department of Health and Social Care
322089,Disapply 14-day quarantine rules for those testing negative for Coronavirus.,The uncertainty of quarantine measures is harming tourism and business and our ability to recover economically and emotionally from lockdown. ,Department of Health and Social Care
563620,Expedite the Covid-19 vaccination of terminally ill patients,To prioritise vaccinating terminally ill patients as soon as possible on humanitarian grounds.,Department of Health and Social Care
569109,Increase funding to research/medical institutions to find a cure for tinnitus,"In the UK, more persistent tinnitus is estimated to affect around six million people (10% of the population) to some degree, with about 600,000 (1%) experiencing it to a severity that affects their quality of life. People shouldn’t be constantly plagued by a condition that is dismissed as trivial.",Department of Health and Social Care
317683,Allow the sale of nicotine e-liquids in bottles greater than 10 ml.,I would like the government to change the law or regulation that prohibits the sale of nicotine-containing e-liquid in bottles greater than 10ml due to the negative environmental impact this has.,Department of Health and Social Care
596161,Stop Day 2 Tests for Green List and Fully Vaccinated Amber Arrivals,Testing is an extreme hassle to holidays in the present climate and is continuing to damage the travel industry. The Government should stop Day 2 testing for Green List arrivals and also for fully vaccinated Amber Arrivals. Tests should still be required to enter the UK.,Department of Health and Social Care
